trimester;year;tasa_paro
1T;2020;14,41
4T;2019;13,78
3T;2019;13,92
2T;2019;14,02
1T;2019;14,7
4T;2018;14,45
3T;2018;14,55
2T;2018;15,28
1T;2018;16,74
4T;2017;16,55
3T;2017;16,38
2T;2017;17,22
1T;2017;18,75
4T;2016;18,63
3T;2016;18,91
2T;2016;20
1T;2016;21
4T;2015;20,9
3T;2015;21,18
2T;2015;22,37
1T;2015;23,78
4T;2014;23,7
3T;2014;23,67
2T;2014;24,47
1T;2014;25,93
4T;2013;25,73
3T;2013;25,65
2T;2013;26,06
1T;2013;26,94
4T;2012;25,77
3T;2012;24,79
2T;2012;24,4
1T;2012;24,19
4T;2011;22,56
3T;2011;21,28
2T;2011;20,64
1T;2011;21,08
4T;2010;20,11
3T;2010;19,59
2T;2010;19,89
1T;2010;19,84
4T;2009;18,66
3T;2009;17,75
2T;2009;17,77
1T;2009;17,24
4T;2008;13,79
3T;2008;11,23
2T;2008;10,36
1T;2008;9,6
4T;2007;8,57
3T;2007;8,01
2T;2007;7,93
1T;2007;8,42
4T;2006;8,26
3T;2006;8,08
2T;2006;8,44
1T;2006;9,03
4T;2005;8,71
3T;2005;8,41
2T;2005;9,32
1T;2005;10,17
4T;2004;10,53
3T;2004;10,74
2T;2004;11,09
1T;2004;11,5
4T;2003;11,37
3T;2003;11,3
2T;2003;11,28
1T;2003;11,99
4T;2002;11,61
3T;2002;11,49
2T;2002;11,15
1T;2002;11,55
4T;2001;10,63
3T;2001;10,29
2T;2001;10,35
1T;2001;10,94
